,cust,rct_no,ma_fem_dv,ages,zon_hlv
1722,M057015266,12448.0,남성,40대,Z10
27604,M919374790,10049.0,남성,50대,Z17
8670,M287960590,2564.0,여성,40대,Z17
22962,M763326819,2524.0,남성,40대,Z11
3730,M124357021,2143.0,남성,40대,Z08
28069,M935231621,1998.0,남성,40대,Z16
25572,M851925709,1924.0,여성,40대,Z16
1688,M056145651,1890.0,여성,50대,Z10
1877,M062470149,1873.0,여성,60대,Z17
13405,M447821725,1861.0,남성,40대,Z17
177,M006407679,1855.0,여성,50대,Z17
4640,M155305167,1837.0,여성,30대,Z11
26432,M880029153,1822.0,남성,40대,Z16
6640,M221139757,1814.0,여성,40대,Z05
4504,M150523089,1801.0,여성,40대,Z17
8478,M282063613,1798.0,여성,50대,Z04
17139,M569847687,1770.0,여성,50대,Z17
26862,M894002955,1765.0,여성,40대,Z10
24730,M823558048,1733.0,남성,40대,Z10
28511,M950449432,1701.0,여성,40대,Z10
23059,M766920136,1680.0,여성,30대,Z17
22654,M753344696,1624.0,여성,40대,Z10
29409,M982559329,1608.0,여성,40대,Z05
29723,M993260449,1572.0,여성,40대,Z10
17251,M574252357,1570.0,여성,70대,Z17
285,M010037014,1569.0,남성,20대,Z16
17026,M566433136,1568.0,여성,50대,Z10
25115,M836630433,1535.0,남성,20대,Z11
2151,M071917388,1531.0,여성,30대,Z05
5896,M195833342,1529.0,여성,50대,Z11
12388,M413477688,1525.0,여성,70대,Z17
25634,M854130152,1521.0,남성,30대,Z05
14090,M470112503,1518.0,여성,50대,Z16
6787,M226012366,1514.0,여성,40대,Z04
11410,M378415176,1512.0,남성,40대,Z10
24596,M819131301,1508.0,여성,40대,Z16
9114,M302490488,1505.0,여성,40대,Z17
4293,M143663244,1494.0,남성,40대,Z15
26869,M894119257,1489.0,여성,40대,Z11
10159,M336933607,1476.0,여성,40대,Z13
15369,M511063788,1470.0,남성,40대,Z17
2280,M076496984,1467.0,여성,50대,Z17
21714,M722786033,1464.0,여성,40대,Z04
21969,M730893134,1461.0,남성,50대,Z17
4515,M150911114,1456.0,여성,40대,Z11
18547,M616659311,1444.0,여성,40대,Z10
4939,M163864816,1437.0,남성,40대,Z10
29255,M976675136,1433.0,남성,40대,Z06
25635,M854163268,1432.0,여성,70대,Z10
11684,M387927928,1420.0,여성,40대,Z17
23297,M775204791,1414.0,여성,40대,Z17
24198,M804891838,1412.0,여성,40대,Z06
14544,M484469095,1409.0,남성,40대,Z11
11444,M379882981,1393.0,여성,40대,Z01
29267,M976964241,1392.0,남성,50대,Z10
23286,M774798773,1390.0,여성,40대,Z05
13508,M451314569,1366.0,여성,50대,Z17
21079,M702590195,1360.0,남성,40대,Z10
18415,M613035564,1357.0,여성,40대,Z10
27516,M915705833,1354.0,남성,50대,Z04
29510,M986268092,1351.0,남성,40대,Z09
17528,M584080782,1345.0,여성,40대,Z17
10370,M343793983,1325.0,여성,40대,Z16
17983,M598831615,1324.0,여성,40대,Z05
28621,M954050739,1319.0,여성,60대,Z10
21737,M723467682,1313.0,남성,50대,Z10
19425,M645893622,1312.0,남성,40대,Z17
22285,M740660758,1311.0,남성,50대,Z04
12741,M425279572,1311.0,여성,30대,Z17
11943,M397459239,1310.0,여성,40대,Z08
16581,M551336727,1308.0,여성,40대,Z10
1579,M052425190,1308.0,여성,40대,Z17
13869,M462953699,1307.0,남성,40대,Z06
6051,M201476321,1302.0,여성,40대,Z09
632,M021121027,1292.0,남성,40대,Z07
29825,M996539287,1288.0,여성,30대,Z16
19322,M642062829,1278.0,여성,40대,Z05
18199,M605720767,1277.0,여성,40대,Z15
23737,M789404870,1265.0,여성,40대,Z11
15795,M526350048,1264.0,여성,40대,Z04
22273,M740313459,1261.0,여성,60대,Z10
10125,M336008672,1260.0,남성,50대,Z17
28788,M960460862,1259.0,남성,40대,Z06
3403,M114106342,1258.0,여성,30대,Z11
24214,M805506390,1256.0,여성,60대,Z11
9622,M320645751,1255.0,여성,50대,Z10
8951,M296771531,1254.0,남성,50대,Z17
15868,M528797751,1253.0,여성,50대,Z10
19261,M640235208,1252.0,여성,40대,Z17
10994,M365483934,1251.0,여성,30대,Z09
5839,M193993349,1241.0,여성,50대,Z11
22573,M750870954,1240.0,여성,40대,Z11
18566,M617097623,1240.0,여성,40대,Z10
4755,M158576145,1235.0,여성,40대,Z17
21439,M713861593,1234.0,여성,40대,Z04
17144,M570080855,1232.0,남성,60대,Z17
404,M014275222,1230.0,여성,40대,Z17
11380,M377601122,1218.0,여성,40대,Z17
4819,M160446958,1215.0,여성,30대,Z11
24741,M824022798,1215.0,여성,40대,Z17
26856,M893727045,1207.0,남성,50대,Z17
26521,M882955788,1206.0,여성,40대,Z10
24205,M805219555,1206.0,여성,40대,Z09
16922,M562512968,1203.0,남성,40대,Z17
8747,M290450066,1200.0,남성,40대,Z13
15893,M529966394,1197.0,남성,40대,Z17
18725,M622946134,1196.0,여성,40대,Z17
6917,M230941155,1191.0,여성,50대,Z10
18443,M614062555,1188.0,여성,40대,Z17
13202,M441049196,1185.0,여성,40대,Z04
11938,M397301353,1185.0,여성,30대,Z10
715,M023605710,1184.0,여성,40대,Z10
16666,M553674064,1183.0,여성,50대,Z10
7563,M252445879,1182.0,남성,70대,Z10
21078,M702534156,1181.0,여성,40대,Z11
17320,M576689847,1177.0,여성,50대,Z10
14199,M473825028,1176.0,여성,50대,Z10
6584,M219299076,1174.0,여성,50대,Z11
25383,M844835592,1170.0,여성,30대,Z17
1571,M052186520,1160.0,여성,40대,Z10
23210,M771815237,1159.0,남성,40대,Z08
3869,M128747170,1158.0,남성,50대,Z10
3248,M109733557,1151.0,남성,40대,Z16
8580,M285395398,1149.0,여성,40대,Z04
13008,M434304520,1147.0,남성,40대,Z10
4777,M159274242,1144.0,여성,40대,Z10
23826,M792078195,1144.0,여성,40대,Z09
2965,M100121805,1143.0,여성,40대,Z09
22667,M753798615,1142.0,여성,50대,Z15
1912,M063683153,1141.0,여성,30대,Z10
8445,M281183618,1136.0,여성,40대,Z10
20094,M670963884,1136.0,남성,40대,Z17
10540,M349129203,1134.0,남성,50대,Z15
13810,M460794535,1132.0,남성,40대,Z16
26308,M876101498,1129.0,여성,30대,Z17
12450,M415737068,1129.0,여성,60대,Z17
4683,M156512039,1129.0,여성,40대,Z10
13638,M455824780,1125.0,여성,40대,Z17
17839,M594074439,1123.0,남성,30대,Z05
24627,M819920876,1123.0,여성,40대,Z17
16834,M559475749,1118.0,여성,30대,Z10
11845,M394336287,1115.0,여성,40대,Z16
1038,M034343473,1111.0,여성,50대,Z09
11663,M387166930,1109.0,남성,40대,Z17
2473,M083173756,1106.0,남성,40대,Z17
6982,M233295685,1105.0,여성,40대,Z17
