,clac_mcls_nm,clac_hlv_nm
983,DVD/홈시어터,영상/음향가전
987,TV,영상/음향가전
1151,가공유,유제품
1699,가방세트,패션잡화
206,간식/안주형과자,과자
671,간편조리,수산물
675,갑각류,수산물
0,거실가구,가구
63,건강가전,건강용품
66,건강관리용품,건강용품
31,건강보조식품,건강식품
35,건강진액,건강식품
72,건강측정용품,건강용품
148,건과일,과일
385,건면,대용식
88,건어물,건해산물
102,건해산물선물세트,건해산물
1868,격투기,헬스/피트니스
152,견과류,과일
1485,계란류,축산물
1041,고양이용품,원예/애완
242,골프,구기/필드스포츠
133,공구,공구/안전용품
529,공기청정/가습/제습,생활/주방가전
162,과일선물세트,과일
209,과자세트,과자
1160,과채음료,음료
420,교육보조재,문구/사무용품
1010,교육완구,완구
1205,교환/정비용품,자동차용품
1829,구강케어,퍼스널케어
167,국산과일,과일
1490,국산돼지고기,축산물
1503,국산소고기,축산물
863,그릇/식기,식기/조리기구
1164,기능성음료,음료
281,기타,기타(비상품)
4,기타가구,가구
1516,기타고기류,축산물
251,기타구기/필드스포츠,구기/필드스포츠
1519,기타국소고기,축산물
841,기타시즌스포츠,시즌스포츠
899,기타아웃도어/레저,아웃도어/레저
1050,기타애완동물,원예/애완
1700,기타지갑,패션잡화
283,기프트,기타(비상품)
213,껌,과자
39,꿀,건강식품
1383,나물류,채소
900,낚시,아웃도어/레저
118,난방가전,계절가전
1703,남성가방,패션잡화
759,남성골프의류,스포츠패션
768,남성등산/아웃도어의류,스포츠패션
615,남성속옷,속옷/양말/홈웨어
776,남성스포츠화,스포츠패션
619,남성양말류,속옷/양말/홈웨어
289,남성의류상의,남성의류
296,남성의류세트,남성의류
298,남성의류아우터,남성의류
306,남성의류전신,남성의류
307,남성의류하의,남성의류
779,남성일반스포츠의류,스포츠패션
1707,남성지갑,패션잡화
1883,남성케어,화장품/뷰티케어
310,남성특수목적의류,남성의류
314,남성특수소재의류,남성의류
1710,남성패션액세서리,패션잡화
1712,남성화,패션잡화
1019,남아완구,완구
1080,남아의류상의,유아동의류
1086,남아의류세트,유아동의류
1087,남아의류아우터,유아동의류
1092,남아의류전신,유아동의류
1093,남아의류하의,유아동의류
1096,남아특수목적의류,유아동의류
1099,남아특수소재의류,유아동의류
315,냉동간편식,냉동식품
186,냉동과일,과일
682,냉동포장생선류,수산물
125,냉방가전,계절가전
335,냉장/냉동고,냉장/세탁가전
347,냉장간편식,냉장식품
358,냉장음료,냉장식품
1240,냉장조리,조리식품
426,노트,문구/사무용품
252,농구,구기/필드스포츠
492,농산물병통조림,병통조림
1527,닭고기류,축산물
1057,동물병원,원예/애완
1386,두부/콩나물류,채소
1170,두유,음료
902,등산,아웃도어/레저
361,디저트,냉장식품
1250,떡,조리식품
392,레토르트,대용식
516,렌탈서비스,생활/렌탈서비스
284,렌탈수수료,기타(비상품)
1329,맥주,주류
1887,메이크업,화장품/뷰티케어
1835,면도용품,퍼스널케어
414,모바일기기,모바일
506,모바일상품권,상품권
416,모바일액세서리,모바일
1724,모자,패션잡화
1537,미국산소고기,축산물
430,미술용품,문구/사무용품
1901,미용소품,화장품/뷰티케어
878,밀폐/보관용기,식기/조리기구
1838,바디케어,퍼스널케어
107,반건생선,건해산물
587,방향/제습/탈취제,세제/위생
256,배구,구기/필드스포츠
257,배드민턴,구기/필드스포츠
1391,버섯류,채소
1252,베이커리,조리식품
1734,벨트,패션잡화
1184,벽면/바닥용품,인테리어/조명
494,병통조림선물세트,병통조림
1738,보석,패션잡화
136,보수용품,공구/안전용품
280,보험,금융/보험서비스
402,봉지라면,대용식
1278,분말류,조미료
