,cust,rct_no,ma_fem_dv,ages,zon_hlv
0,M057015266,12448,남성,40대,Z10
1,M919374790,10049,남성,50대,Z17
2,M287960590,2564,여성,40대,Z17
3,M763326819,2524,남성,40대,Z11
4,M124357021,2143,남성,40대,Z08
5,M935231621,1998,남성,40대,Z16
6,M851925709,1924,여성,40대,Z16
7,M056145651,1890,여성,50대,Z10
8,M062470149,1873,여성,60대,Z17
9,M447821725,1861,남성,40대,Z17
10,M006407679,1855,여성,50대,Z17
11,M155305167,1837,여성,30대,Z11
12,M880029153,1822,남성,40대,Z16
13,M221139757,1814,여성,40대,Z05
14,M150523089,1801,여성,40대,Z17
15,M282063613,1798,여성,50대,Z04
16,M569847687,1770,여성,50대,Z17
17,M894002955,1765,여성,40대,Z10
18,M823558048,1733,남성,40대,Z10
19,M950449432,1701,여성,40대,Z10
20,M766920136,1680,여성,30대,Z17
21,M753344696,1624,여성,40대,Z10
22,M982559329,1608,여성,40대,Z05
23,M993260449,1572,여성,40대,Z10
24,M574252357,1570,여성,70대,Z17
25,M010037014,1569,남성,20대,Z16
26,M566433136,1568,여성,50대,Z10
27,M836630433,1535,남성,20대,Z11
28,M071917388,1531,여성,30대,Z05
29,M195833342,1529,여성,50대,Z11
30,M413477688,1525,여성,70대,Z17
31,M854130152,1521,남성,30대,Z05
32,M470112503,1518,여성,50대,Z16
33,M226012366,1514,여성,40대,Z04
34,M378415176,1512,남성,40대,Z10
35,M819131301,1508,여성,40대,Z16
36,M302490488,1505,여성,40대,Z17
37,M143663244,1494,남성,40대,Z15
38,M894119257,1489,여성,40대,Z11
39,M336933607,1476,여성,40대,Z13
40,M511063788,1470,남성,40대,Z17
41,M076496984,1467,여성,50대,Z17
42,M722786033,1464,여성,40대,Z04
43,M730893134,1461,남성,50대,Z17
44,M150911114,1456,여성,40대,Z11
45,M616659311,1444,여성,40대,Z10
46,M163864816,1437,남성,40대,Z10
47,M976675136,1433,남성,40대,Z06
